shark_col,shark_temp_col,Q10,overlap_form,overlap_slope,shark_transform,n,aic,bic,cfi,rmsea,b_hake_cpue,p_hake_cpue,b_cpue_sar,p_cpue_sar,b_shark_sar,p_shark_sar,model_group,sig_shark,sig_hake,sig_cpue
goa_pacific_sleeper_shark,egoa_clim_1985_t2,2,linear,0.2,z_roll2,24,103.45817338551612,111.70455019795173,0.8106810469841212,0.3213082426137233,-0.37201497826753915,1.436740868230313e-4,0.7195595010319001,2.110252788412037e-4,-0.34525087039633595,0.029742953616859857,long,TRUE,TRUE,TRUE
goa_pacific_sleeper_shark,egoa_clim_1985_t2,2,linear,0.4,z_roll2,24,103.46046656162949,111.7068433740651,0.8136808595878122,0.3181471576785302,-0.37201497826753915,1.4367408685811434e-4,0.7122909823487991,2.3950476425671496e-4,-0.32857106770651895,0.029790458821591148,long,TRUE,TRUE,TRUE
goa_pacific_sleeper_shark_2y_avg_backward,sst_wgoa_coastwatch_junjulaug,2,constant,0,z_roll2,24,103.46272122090093,111.70909803333655,0.7381515527619922,0.39596383159984316,-0.37201497826753915,1.4367408686521976e-4,0.7038356259448513,2.787069389402763e-4,-0.327833098755184,0.029837238757253637,long,TRUE,TRUE,TRUE
goa_pacific_sleeper_shark,pdo_djf,2,logistic,0.2,z_roll2,24,103.46546246433604,111.71183927677166,0.8010638539255329,0.3312825101134904,-0.3720149782675388,1.4367408697069095e-4,0.7301248457717872,1.7735889275982686e-4,-0.3741913365834449,0.029894211582076613,long,TRUE,TRUE,TRUE
goa_pacific_sleeper_shark,pdo_djf,2,linear,0.2,z_roll2,24,103.46989772186524,111.71627453430085,0.7980315975970784,0.33439632033052086,-0.37201497826753915,1.4367408687698813e-4,0.7298622815211239,1.783825263979022e-4,-0.3767497789982167,0.029986618425654976,long,TRUE,TRUE,TRUE
goa_pacific_sleeper_shark,akclim_goa_wgoa_win_sst,2,logistic,0.6,z_roll2,24,103.47443946245733,111.72081627489294,0.7793089376130607,0.3536884315728964,-0.37201497826753915,1.436740869027453e-4,0.7591145559514706,1.147788752964285e-4,-0.3861676953999832,0.03008153453212592,long,TRUE,TRUE,TRUE
goa_pacific_sleeper_shark,akclim_goa_wgoa_win_sst,2,logistic,0.8,z_roll2,24,103.47759303304946,111.72396984548507,0.7729498327714427,0.360193832187746,-0.37201497826753915,1.4367408680437954e-4,0.7660308008370851,1.045859220361045e-4,-0.38830897254814456,0.030147613325429035,long,TRUE,TRUE,TRUE
goa_pacific_sleeper_shark,egoa_clim_1985_t2,2,logistic,0.4,z_roll2,24,103.47999493100718,111.7263717434428,0.8108242467770488,0.3209931626278353,-0.37201497826753915,1.4367408687943062e-4,0.7196198668070033,2.1227712756699546e-4,-0.344694489823365,0.03019803746991445,long,TRUE,TRUE,TRUE
goa_pacific_sleeper_shark_2y_avg_backward,pdo_djf,2,constant,0,z_roll2,24,103.48211545908092,111.72849227151653,0.7408684866315487,0.3930015296780218,-0.37201497826753915,1.436740869051878e-4,0.7048183495777369,2.753911158144273e-4,-0.33012947477972426,0.03024262354631091,long,TRUE,TRUE,TRUE
goa_pacific_sleeper_shark,enso_dj,2,constant,0,z_roll2,24,103.48541428828602,111.73179110072164,0.8065392078688056,0.3254277820804973,-0.37201497826753915,1.4367408687943062e-4,0.7307513732788814,1.767383883111151e-4,-0.36481220149383686,0.030312113077052505,long,TRUE,TRUE,TRUE
goa_pacific_sleeper_shark,egoa_clim_1985_t2,2,logistic,0.6,z_roll2,24,103.49698191903448,111.7433587314701,0.8124953948651471,0.319115459425421,-0.3720149782675388,1.4367408695314943e-4,0.7162690958784136,2.2603328915016263e-4,-0.33715717420586266,0.030557025868351184,long,TRUE,TRUE,TRUE
goa_pacific_sleeper_shark,akclim_goa_wgoa_win_sst,2,logistic,0.4,z_roll2,24,103.49744646905782,111.74382328149343,0.7867257864888386,0.3458637516428008,-0.37201497826753893,1.4367408699422768e-4,0.7511097624135302,1.2975893636912872e-4,-0.38050574296916345,0.030566901938823277,long,TRUE,TRUE,TRUE
goa_pacific_sleeper_shark_2y_avg_backward,egoa_clim_1985_t2,2,logistic,0.6,z_roll2,24,103.49988709156992,111.74626390400553,0.7402146244639944,0.39350573101222336,-0.37201497826753904,1.4367408705284745e-4,0.6951453771496169,3.305387505341262e-4,-0.3236612755878281,0.030618839741749282,long,TRUE,TRUE,TRUE
goa_pacific_sleeper_shark_2y_avg_backward,enso_dj,2,linear,0.6,z,24,103.51428649636597,111.76066330880158,0.8035407039615202,0.32832745549693715,-0.37201497826753893,1.4367408689563987e-4,0.7325342106161454,1.734099091794672e-4,-0.3050547535813886,0.030927036962331345,long,TRUE,TRUE,TRUE
goa_pacific_sleeper_shark,akclim_goa_wgoa_win_sst,2,linear,0.2,z_roll2,24,103.51637727789404,111.76275409032965,0.7863621820422289,0.34608370680093686,-0.37201497826753915,1.4367408686299932e-4,0.7512586471979263,1.3039043997453703e-4,-0.37983250479418124,0.030972039677351404,long,TRUE,TRUE,TRUE
goa_pacific_sleeper_shark_2y_avg_backward,akclim_goa_wgoa_win_sst,2,logistic,0.2,z_roll2,24,103.52013038328124,111.76650719571685,0.7338395334907384,0.3998398752902474,-0.37201497826753915,1.4367408689341943e-4,0.713142323554009,2.4035195178151447e-4,-0.33533005420936085,0.031052984367770042,long,TRUE,TRUE,TRUE
goa_pacific_sleeper_shark,pdo_djf,2,logistic,0.6,z_roll2,24,103.52353774166946,111.76991455410507,0.7964858108350679,0.33557394464200946,-0.37201497826753915,1.4367408695670214e-4,0.7282647304629349,1.8638104348611684e-4,-0.372807833367356,0.03112665225731437,long,TRUE,TRUE,TRUE
goa_pacific_sleeper_shark_2y_avg_backward,sst_egoa_coastwatch_junjulaug,2,constant,0,z_roll2,24,103.52776309975843,111.77413991219404,0.7436143011119583,0.38977103497829796,-0.3720149782675386,1.4367408699889062e-4,0.7033609149262667,2.8661166339838395e-4,-0.3283276792011477,0.031218244140843288,long,TRUE,TRUE,TRUE
