"","term1_col","term2_col","n_years","aic","bic","cfi","rmsea","b_hake_cpue","p_hake_cpue","b_cpue_sar","p_cpue_sar","b_term1_sar","p_term1_sar","b_term2_sar","p_term2_sar","model_type","delta_aic_vs_base","contains_new_shark"
"188","x15_shark_catch_go_a_pred_ak","x13_ammod_wai",24,121.407391125591,128.475714107679,0.707087690304778,0.345669975172514,-0.613080028554731,0.000143674086900969,0.521354075654711,0.00112630953820103,-0.0407941125863943,0.827135965241332,-0.378500345237052,0.0364698813421702,"1 Predator + 1 Prey",-0.860439390536953,FALSE
"189","x15_arrowtooth_flounder_biomass_pred_ak","x13_ammod_wai",24,121.412834728475,128.481157710563,0.687702611923822,0.361873181604653,-0.613080028554731,0.000143674086900969,0.518757972663665,0.00144648279439741,0.0428604610930484,0.834553424321503,-0.383627433135651,0.0512436844348252,"1 Predator + 1 Prey",-0.85499578765257,FALSE
"190","x15_shark_catch_go_a_pred_ak","x13_egoa_herring",24,121.425641432601,128.493964414689,0.594582988783328,0.443285291280268,-0.613080028554731,0.000143674086900969,0.633821498317973,8.55508563324392e-05,0.0923940713544463,0.574075049799265,0.330909677706126,0.0413748020367992,"1 Predator + 1 Prey",-0.842189083526677,FALSE
"191","x15_pacific_cod_biomass_pred_ak","x13_mid_il_capelin",24,121.431785847634,128.500108829721,0.915584315351128,0.16298088322187,-0.613080028554731,0.000143674086900969,0.386079422863259,0.022064401076541,-0.121404059983619,0.494783710525065,0.434262002256386,0.0160743929682814,"1 Predator + 1 Prey",-0.836044668494452,FALSE
"192","x10_northern_f_s_2yr_lead_ws","x14_pink_salmon_asia",24,121.438796411956,128.507119394043,0.831199588733392,0.241843798436674,-0.613080028554731,0.000143674086900969,0.574454362100692,0.000395433620171026,0.169855623039316,0.314830841191808,0.26676946049531,0.108640984763905,"1 Predator + 1 Prey",-0.829034104172308,FALSE
"193","x15_halibut_biomass_age8plus_2yr_lead_pred_ak","x13_wgoa_cap_pcod",24,121.453801680746,128.522124662834,1,0,-0.613080028554731,0.000143674086900969,0.402213691373537,0.0223627478939741,-0.0259211942683411,0.873602797403354,0.381004324295205,0.0281885483145412,"1 Predator + 1 Prey",-0.814028835382175,FALSE
"194","x15_dfa_sleeper_shark_bsai_pred_ak","x21_enso_dj",24,121.455023628756,128.523346610844,0.823149358158191,0.248653667361392,-0.613080028554731,0.000143674086900969,0.578943276327736,0.00024576431072143,-0.356923421692596,0.0208341975859878,-0.0320456636587865,0.839159065754736,"1 Predator + 1 Prey",-0.812806887371977,FALSE
"195","x15_spiny_dogfish_go_a_pred_ak","x13_dfa_wgoa_dfa_seabirds",24,121.458391713382,128.526714695469,0.880074272990773,0.198012263208584,-0.613080028554731,0.000143674086900969,0.50624802305386,0.00276836175677708,0.109607599346761,0.503668608333189,-0.328484211347137,0.0455448626429706,"1 Predator + 1 Prey",-0.809438802746399,FALSE
"196","x15_sablefish_biomass_pred_ak","x13_hexagram_eai",24,121.466092851544,128.534415833632,0.771296112624207,0.292039123718795,-0.613080028554731,0.000143674086900969,0.537658672109405,0.00104897569697404,0.183916146919231,0.254567513974087,-0.309694574151574,0.0486282933475319,"1 Predator + 1 Prey",-0.801737664583868,FALSE
"197","x15_halibut_biomass_age8plus_2yr_lead_pred_ak","x14_pink_salmon_asia",24,121.487413204971,128.555736187059,0.824608842388923,0.247212836024962,-0.613080028554731,0.000143674086900969,0.605223190138761,0.000130150003867069,0.216545749671138,0.334602596660327,0.48139839129132,0.0295643663445424,"1 Predator + 1 Prey",-0.780417311156697,FALSE
